HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,ShoppingMall,Spa
0,1,2,27,0,0,0,0
0,0,2,19,0,0,0,2823
1,1,0,31,0,0,0,0
1,0,2,38,0,0,0,181
0,0,2,20,0,10,635,0
0,0,2,31,0,0,263,113
1,1,0,21,0,0,0,0
1,1,2,20,0,0,0,0
1,1,0,23,0,0,0,0
0,0,0,24,0,0,0,0
0,0,2,19,0,339,136,237
1,0,2,45,0,932,177,7
1,0,2,44,0,0,0,14
2,1,2,46,0,0,0,0
0,0,2,21,0,0,0,1687
0,0,2,27,0,0,0,903
0,0,2,20,0,2,253,457
1,1,2,44,0,0,0,0
1,0,2,29,0,0,243,569
1,0,2,40,0,26,8,3144
0,0,2,30,0,0,26,3
0,0,2,14,0,219,0,1609
1,1,0,31,0,0,0,0
1,0,0,27,0,0,0,4
1,0,0,66,0,39,0,1409
0,0,2,24,0,1784,18,18
1,0,0,19,0,293,5273,118
0,1,2,36,0,0,0,0
0,0,2,21,0,0,12,3
0,1,0,18,0,0,0,0
0,1,2,26,0,0,0,0
0,0,2,19,0,598,30,0
0,1,2,48,0,0,0,0
0,0,2,23,0,14,0,0
0,0,2,24,0,483,87,214
0,0,2,19,0,0,135,265
2,1,2,24,0,0,0,0
0,0,2,27,0,66,0,0
0,1,2,6,0,219,0,0
0,0,2,33,0,0,0,866
0,0,1,23,0,0,1235,0
0,0,1,30,0,1,1585,0
0,0,2,28,0,0,997,0
0,0,2,1,0,0,0,0
0,0,2,20,0,1,0,599
0,1,2,17,0,0,0,0
0,0,2,34,0,0,39,1
0,0,1,24,0,0,82,0
0,0,2,29,0,14,177,1
0,0,2,20,0,1037,2,0
0,1,0,5,0,0,0,0
1,1,0,22,0,0,0,0
1,0,2,16,0,3966,0,0
0,1,0,7,0,0,0,0
0,0,0,36,0,0,571,36
2,0,0,26,0,46,2305,0
0,0,2,40,0,413,1,0
0,1,2,29,0,0,0,0
2,1,2,2,0,0,0,0
2,0,2,23,0,378,0,0
2,0,2,0,0,0,0,0
1,0,0,30,0,0,6108,29
0,0,2,56,0,0,23,723
1,1,2,36,0,0,0,0
1,1,2,56,0,0,0,0
0,0,2,19,0,32,521,0
0,1,1,39,0,0,0,0
2,0,2,38,0,2,148,1213
2,0,2,28,0,0,0,0
1,0,2,35,0,0,0,1502
0,0,0,26,0,832,0,21
0,0,2,31,0,0,705,0
0,0,2,38,0,0,0,756
0,0,0,27,0,219,0,0
2,1,0,30,0,0,0,0
0,0,2,22,0,0,0,0
1,1,2,29,0,0,0,0
0,1,2,0,0,0,0,0
0,0,0,8,0,0,0,0
0,1,2,3,0,0,0,0
0,1,2,27,0,0,0,0
0,0,2,9,0,0,0,0
0,0,1,29,0,362,0,0
0,0,2,18,0,756,0,1
2,0,2,22,0,197,1175,0
2,0,2,24,0,6,1404,0
2,1,0,25,0,0,0,0
0,0,2,36,0,261,206,465
1,1,2,14,0,0,0,0
1,1,0,24,0,0,0,0
1,0,0,26,1,0,0,4572
0,0,1,29,0,1669,242,155
0,0,2,40,0,44,565,0
1,0,2,36,0,33,0,12767
1,0,2,46,0,717,4,2
1,0,2,42,0,4762,0,4
0,1,2,23,0,0,0,0
0,0,2,19,0,741,1,0
1,0,0,25,0,3,8098,1531
0,0,2,22,0,0,0,0
1,1,2,35,0,0,0,0
1,0,0,39,0,0,0,13
1,1,0,42,0,0,0,0
1,0,2,35,0,0,0,1813
0,1,1,29,0,0,0,0
0,0,2,20,0,786,0,0
0,1,2,25,0,0,0,0
2,1,2,36,0,0,0,0
2,0,2,39,0,2556,22,0
1,1,0,23,0,0,0,0
1,1,0,19,0,0,0,0
0,0,2,50,0,0,78,751
0,0,1,41,0,0,728,0
2,0,0,19,0,1,2839,85
0,0,2,20,0,186,0,602
1,1,0,19,0,0,0,0
1,1,2,38,0,0,0,0
1,0,0,32,0,1340,0,8517
2,0,2,44,0,696,462,46
2,0,2,18,0,1542,138,0
2,0,2,49,0,108,41,1560
2,0,0,23,0,3186,0,2
0,0,2,31,0,41,1,62
2,0,2,55,0,1054,2,0
2,0,2,60,0,60,7022,0
2,1,2,20,0,0,0,0
2,0,2,34,0,301,79,919
2,0,2,14,0,123,0,1936
2,1,2,26,0,0,0,0
1,0,0,19,0,0,0,368
1,1,2,25,0,0,0,0
0,0,0,42,0,98,0,613
0,0,2,18,0,212,12,0
2,0,2,50,0,0,1299,0
0,0,2,26,0,0,0,1079
1,1,2,47,0,0,0,0
0,0,1,35,0,219,0,44
2,0,0,58,0,73,422,978
0,0,0,20,0,376,242,1
1,0,2,28,0,5,132,4966
0,1,1,12,0,219,0,0
0,0,0,20,0,219,0,10
0,1,2,22,0,0,0,0
0,0,2,31,0,0,81,0
0,1,1,24,0,0,0,0
2,0,2,17,0,1031,1026,42
2,1,0,28,0,0,0,0
0,1,0,18,0,0,0,0
0,0,2,48,0,219,0,0
0,0,2,38,0,3,1,0
1,1,0,33,0,0,0,0
0,1,2,20,0,0,0,0
2,0,2,22,0,0,0,0
0,0,2,52,0,356,288,0
0,0,0,15,0,638,7,0
0,0,2,25,0,10,755,0
0,1,0,14,0,0,0,0
0,1,0,28,0,0,0,0
0,0,2,16,0,1395,0,21
0,0,2,48,0,1,259,308
0,0,2,36,0,0,0,0
0,0,1,19,0,0,610,0
0,1,1,43,0,0,0,0
1,1,2,32,0,0,0,0
1,0,0,54,0,0,4391,4882
1,0,2,33,0,0,0,3490
1,1,2,21,0,0,0,0
1,0,2,33,0,23,737,493
1,1,0,28,0,0,0,0
1,0,2,23,0,0,0,704
1,0,2,26,0,8,0,393
2,1,2,41,0,0,0,0
0,1,2,2,0,219,0,0
0,1,1,21,0,0,0,0
0,0,1,70,0,130,1247,0
0,0,2,20,0,0,3,0
0,0,2,31,0,273,1,0
0,0,2,8,0,0,0,0
0,1,2,5,0,0,0,0
2,0,2,45,0,288,932,4
2,0,2,37,0,731,517,50
0,1,2,24,0,0,0,0
1,0,0,55,0,0,0,6
0,0,2,18,0,0,177,0
0,0,2,36,0,6,0,783
2,0,2,59,0,1678,0,0
0,1,2,61,0,0,0,0
0,0,0,46,0,4908,3,1
2,0,2,29,0,87,67,0
0,1,2,18,0,0,0,0
1,1,2,20,0,0,0,0
2,0,2,28,0,4,2219,0
0,0,2,26,0,708,10,0
0,0,2,32,0,642,759,332
0,0,2,18,0,658,0,0
0,0,2,50,0,1,0,736
0,0,2,47,0,239,487,7
0,1,1,15,0,0,0,0
0,1,2,35,0,0,0,0
0,0,2,49,0,189,0,882
1,0,0,32,0,0,6252,0
0,0,2,63,0,4,0,303
2,0,2,54,0,129,441,1028
