HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,ShoppingMall,Spa,Transported
1,0,2,39,0,0,0,0,0
0,0,2,24,0,109,25,549,1
1,0,2,58,1,43,0,6715,0
1,0,2,33,0,0,371,3329,0
0,0,2,16,0,303,151,565,1
0,0,1,44,0,0,0,291,1
0,0,2,26,0,42,3,0,1
0,1,2,28,0,0,0,0,1
0,0,2,35,0,0,17,216,1
1,1,0,14,0,0,0,0,1
1,1,2,34,0,0,173,0,1
1,0,0,45,0,39,589,110,1
2,0,2,32,0,73,1123,0,1
0,0,2,48,0,719,65,0,0
0,0,2,28,0,8,12,2,1
0,0,2,31,0,32,876,0,0
2,0,0,27,0,1286,173,0,0
0,0,0,24,0,0,0,0,0
2,1,2,45,0,0,0,0,1
0,0,2,0,0,0,0,0,1
0,0,0,14,0,412,1,0,0
0,1,2,1,0,0,0,0,0
0,1,0,49,0,0,0,0,0
0,1,0,29,0,0,173,0,0
0,0,2,10,0,0,0,0,1
0,1,1,1,0,224,0,0,0
0,0,2,7,0,0,0,0,0
2,0,2,21,0,980,69,0,0
1,1,2,62,0,0,173,0,1
0,0,2,15,0,0,0,998,0
1,0,0,34,0,22,0,1438,0
2,0,2,43,0,1125,136,48,0
0,0,2,32,0,0,81,437,0
2,0,2,47,0,214,1411,0,1
2,0,2,2,0,0,0,0,1
2,0,2,20,0,224,1750,990,1
1,1,0,28,0,0,0,0,1
2,0,0,23,0,784,0,951,0
0,0,0,15,0,0,48,20,0
0,0,0,20,0,554,0,2606,0
0,1,0,30,0,0,173,0,0
0,1,2,17,0,0,0,0,1
1,0,2,45,0,0,45,2511,0
0,1,2,55,0,0,0,0,0
0,1,0,4,0,0,0,0,1
0,1,1,21,0,0,0,0,1
2,0,2,21,0,970,180,0,0
2,1,2,19,0,0,0,0,1
0,0,0,35,0,790,0,311,0
0,0,2,56,0,0,0,1379,0
0,0,2,28,0,4,2,4683,0
0,0,2,25,0,0,1938,0,1
1,0,2,2,0,0,0,0,1
1,1,2,38,0,0,0,0,1
1,0,2,27,0,279,3374,286,1
0,1,1,36,0,0,0,0,0
0,0,2,22,0,45,148,1377,0
0,0,2,62,0,0,0,17,0
2,1,2,15,0,0,0,0,1
0,1,2,33,0,0,173,0,1
0,0,2,62,0,1,197,0,0
0,1,1,0,0,0,0,0,1
0,0,2,18,0,1,446,0,1
0,0,0,21,0,1946,0,0,0
2,0,2,28,0,793,2,253,0
0,0,2,42,0,887,9,6,1
0,0,2,19,0,190,5,1,0
0,0,2,17,0,16,0,0,0
0,0,2,14,0,0,0,0,0
2,0,1,37,0,46,738,0,0
1,0,2,42,0,1,0,0,1
2,0,2,27,0,147,1018,0,1
2,0,2,28,0,14,1295,0,1
1,0,2,38,0,0,0,321,0
0,1,2,13,0,0,0,0,0
2,0,2,42,0,7406,0,0,0
2,1,2,2,0,0,0,0,1
2,0,2,8,0,0,0,0,1
0,0,2,24,0,688,0,0,1
1,1,2,40,0,0,0,0,1
0,0,2,43,0,211,0,638,0
2,1,1,45,0,0,0,0,1
0,1,2,35,0,0,0,0,1
0,1,2,26,0,224,0,0,1
0,0,2,27,0,1,31,188,0
0,0,2,19,0,0,670,1,0
0,1,2,0,0,0,173,0,1
0,1,2,3,0,0,0,0,1
1,0,2,54,0,0,0,3,0
0,0,2,26,0,0,5,32,0
0,0,2,26,0,0,957,0,1
0,0,1,23,0,311,526,37,0
0,0,2,2,0,0,0,0,1
2,1,2,31,0,0,0,0,1
0,0,2,18,0,0,0,830,0
0,0,2,24,0,0,0,0,1
0,1,0,9,0,0,0,0,1
0,1,2,6,0,0,0,0,0
0,0,2,27,0,0,570,2,0
2,0,2,21,0,1743,17,0,0
0,1,2,23,0,0,0,0,0
0,0,2,31,0,562,326,0,0
0,0,2,0,0,0,0,0,1
1,0,2,32,0,0,6,3929,0
1,0,2,40,0,0,0,0,0
1,0,2,42,0,2209,0,1868,1
1,1,2,28,0,0,0,0,1
1,1,2,29,0,0,0,0,1
1,0,0,48,1,0,87,17,1
0,0,2,64,0,0,804,0,1
0,0,2,27,0,82,429,238,0
2,0,2,26,0,0,0,0,1
1,0,2,33,0,1,0,12,1
0,0,2,39,0,0,0,65,0
1,1,2,13,0,0,0,0,1
2,1,2,24,0,0,0,0,1
0,0,2,29,0,0,0,699,0
0,0,2,18,0,55,49,0,0
2,1,2,67,0,0,0,0,1
2,0,2,35,0,701,296,0,0
2,0,2,61,1,2353,9,316,0
2,0,2,45,0,2103,0,0,0
0,1,1,22,0,0,173,0,1
2,1,2,19,0,0,0,0,1
2,0,2,36,0,2738,0,0,0
0,0,2,19,0,0,730,0,1
0,0,1,47,0,97,126,25,0
0,1,2,13,0,0,0,0,1
0,0,2,34,0,0,0,564,0
1,1,0,35,0,0,0,0,1
0,1,2,24,0,0,0,0,1
0,0,2,26,0,440,0,0,0
2,0,2,31,0,224,97,0,0
0,0,2,20,0,0,210,0,1
0,0,2,56,0,0,0,0,0
0,1,2,50,0,0,0,0,1
2,0,2,42,0,1072,10,0,0
0,1,0,28,0,0,0,0,1
0,1,0,38,0,0,0,0,0
0,0,2,41,0,0,0,0,0
0,0,2,22,0,4119,0,0,0
1,1,2,26,0,0,0,0,1
1,1,2,17,0,0,0,0,1
0,0,2,57,0,50,0,311,1
0,1,1,17,0,0,0,0,0
2,1,2,35,0,0,0,0,1
2,1,2,13,0,0,0,0,1
2,0,2,27,0,1365,48,22,0
0,1,2,31,0,0,0,0,0
0,0,2,24,0,0,0,221,0
